Gene,Coefficient
UGT2B11,0.5845425774161241
CNN1,0.5022960456116471
HLA-DOB,0.3393068453863266
RAB12,0.33880534935559825
GUSBP11,0.32393076622104355
IFIT3,0.3196231646948903
NLK,0.3033740815897555
EPSTI1,0.3015216289863106
SCN3A,0.2858668621072455
IFIH1,0.28524791851788295
CXCL9,0.27395249843249564
CHAF1A,0.263286209173822
ADAMTS3,0.23966081396742997
KLRC3,0.23141197806080038
CRACD,0.22599156307088913
CASTOR1,0.21840264342736518
SPATS2L,0.21163210816918915
SLC16A9,0.21141546984615478
COG3,0.20751753144317767
F10,0.20586815595987615
MEGF10,0.2050222945731764
DDX54,0.20195689998019517
RGS1,0.19401575862396933
SCO2,0.1897911177622202
BIRC3,0.18921443019293702
IFI30,0.1687222963467728
NR3C2,0.16471825870555462
PIWIL2,0.15500637669828712
CFAP206,0.15482971257073916
BANK1,0.15409016962090927
GUCY1A2,0.14588104224894344
CDKN1C,0.14415475226609673
GHR,0.1354079706870756
MBP,0.13354898819137706
ATF2,0.1329906724996884
MXI1,0.13140297670868312
CXCL13,0.130362749491958
ABCC9,0.13035124319084798
OSBPL3,0.12894628760279436
B9D1,0.12626869596836787
RASGRF1,0.12518214522037321
ACKR4,0.12479535726806151
SLC38A3,0.12310132377006693
CAP2,0.12256035396912725
LINC00944,0.12118951821273649
PSRC1,0.12080463367723183
CAMP,0.12008096821008493
PLXNA2,0.1159116867422742
MMP8,0.1143680212639128
KCNE5,0.11367194348005959
FGF13,0.11357492400762656
ST13,0.11184884431617144
LRRC19,0.11006673000571891
HLA-E,0.1096885477426077
ABHD3,0.1039468750125661
ARHGEF39,0.10139880062078882
ISG15,0.09966988332006854
SESN2,0.08858855191009456
HASPIN,0.08394062881564529
KANK3,0.08340271943127137
DEPTOR,0.08186892396563573
CAV1,0.08109448941929161
FAM30A,0.07807201655092283
SFXN3,0.07214725543540691
LY6E,0.07169611695273527
CTLA4,0.06357461779989233
LAMP3,0.05914014048566156
OAS3,0.05844918906967735
CD72,0.058436515388821206
VLDLR,0.05636735507857674
DOCK8,0.0551439191182531
IL1RN,0.04911197141149081
CXCL10,0.04481571015403385
MS4A1,0.04262997433438904
PAX5,0.042117379363907345
OAS2,0.03761040556962506
GBP1,0.033479009361708105
CXCL11,0.029803627078316082
STAT1,0.029602737553624605
SRGN,0.02589081354487852
IFI44L,0.023926012477705823
RTP4,0.022807057612773917
BCL2A1,0.0215654575135913
SERPINA6,0.02125198177991041
SAMD9L,0.019508589410362667
IL22RA1,0.01742818609323744
OAS1,0.016772726600452793
RAC2,0.01660173281717152
TRBV12-3,0.014719312287718282
TRIM22,0.013283574074126784
PXMP2,0.011902263196072661
ST18,0.011390692406532878
ZYG11A,0.01047123967492226
WNT10A,0.00984293529490522
TBILA,0.005750553833720217
ST8SIA5,0.005560814040627202
CCDC85A,0.0053523035489170786
FHIT,0.004091944745976513
SEZ6L2,0.002752364716171132
GSR,0.002422785374506109
